number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_test.rho2,user_attrs_test_acc,state,Rank,numLC,case,user_attrs_scaledentropy,rho
47,0.704965115,48:29.6,48:34.7,5,class-specific,0.021423947,256,128,NA,NA,2,0.257405358,1500,10,0.001500752,0.000154963,0.358313084,0.701327443,COMPLETE,3,2,2469,0.176269203,0.358313084
19,0.704968572,58:50.2,58:54.1,3,class-specific,0.017478118,256,128,256,NA,3,0.227685145,1200,20,0.000728646,0.001680042,0.358309925,0.692477882,COMPLETE,3,4,4002,0.339184225,0.358309925
23,0.704972208,42:16.4,42:20.4,4,shared,0.032342903,256,64,64,256,4,0.356801709,1200,1,0.000333344,0.001042651,0.358306587,0.693030953,COMPLETE,4,2,1101,0.49065879,0.358306587
19,0.704975724,08:24.2,08:29.2,5,class-specific,0.010413356,256,256,128,NA,3,0.25517959,1200,40,0.0068494,0.002392911,0.358303487,0.702433646,COMPLETE,5,2,2696,0.833524406,0.358303487
27,0.704976618,13:42.1,13:47.7,5,class-specific,0.005304402,128,256,128,NA,3,0.29911289,1500,40,0.000280095,0.009337757,0.358302593,0.702433646,COMPLETE,4,4,3666,0.522289217,0.358302593
39,0.704984546,40:57.9,41:09.4,11,class-specific,0.008262199,256,64,NA,NA,2,0.212308963,900,1,0.004804206,0.006812319,0.358295321,0.703539848,COMPLETE,4,2,2837,0.492542684,0.358295321
43,0.704984963,53:03.5,53:09.2,5,class-specific,0.031951823,256,64,64,NA,3,0.239223269,1500,1,0.001077647,0.004804329,0.358295023,0.688606203,COMPLETE,4,2,3865,0,0.358295023
48,0.704984963,10:52.7,10:56.7,4,shared,0.015826728,64,64,128,NA,3,0.169063446,1200,40,0.00032599,0.000435355,0.358295023,0.698561966,COMPLETE,5,2,3123,0.763893127,0.358295023
23,0.704987466,22:52.2,23:00.1,7,class-specific,0.008473818,64,128,256,256,4,0.164797097,1200,10,0.00054415,0.000607128,0.358292818,0.700774312,COMPLETE,4,2,2658,0.85460794,0.358292818
9,0.704989254,52:41.7,52:44.8,3,class-specific,0.013178403,256,128,NA,NA,2,0.319841539,900,40,0.000189658,0.000249659,0.35829109,0.698561966,COMPLETE,4,2,3587,0.340264827,0.35829109
