number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_scaledentropy,user_attrs_test/rho2,user_attrs_test_acc,state
149,0.6960281729698181,2025-10-26 11:41:40.600984,2025-10-26 11:41:46.939851,6,shared,0.01086811273703957,128,64,,,2,0.36093245019500575,300,1,0.0012550838217734292,0.0008210202515872138,0.18728958070278168,0.3664477467536926,0.7112832069396973,COMPLETE
109,0.6974430680274963,2025-10-26 11:37:08.650983,2025-10-26 11:37:15.240190,6,shared,0.014433013825138685,256,64,64.0,128.0,4,0.13654837604881062,300,40,0.0012676047645216132,0.0007270643775567315,0.4528900980949402,0.3651599884033203,0.7068583965301514,COMPLETE
123,0.6976050734519958,2025-10-26 11:38:33.294833,2025-10-26 11:38:40.096584,6,shared,0.024281194995348657,64,64,256.0,128.0,4,0.17996362589221107,300,40,0.0001793893172388648,0.0018280274510808138,0.14262832701206207,0.3650124669075012,0.7013274431228638,COMPLETE
14,0.6977383494377136,2025-10-26 11:27:21.762934,2025-10-26 11:27:28.124248,6,shared,0.00627854742956302,256,64,64.0,256.0,4,0.10832676541905871,1500,40,0.008221797724715551,0.0018670402672953757,0.21360106766223907,0.3648911714553833,0.705199122428894,COMPLETE
84,0.697740375995636,2025-10-26 11:34:40.451550,2025-10-26 11:34:45.055932,4,shared,0.017020138168887183,256,128,64.0,256.0,4,0.028969260042381883,300,40,0.00829203596812262,0.00011142735830710731,0.3399905562400818,0.36488932371139526,0.7057521939277649,COMPLETE
76,0.6998962163925171,2025-10-26 11:33:51.783736,2025-10-26 11:33:56.656754,4,shared,0.009932368020017658,128,128,64.0,256.0,4,0.04242955216398028,300,40,0.0010924164746302048,0.00012556887840064137,0.42191535234451294,0.36292701959609985,0.7107300758361816,COMPLETE
167,0.7020074129104614,2025-10-26 11:43:38.626000,2025-10-26 11:43:43.038694,4,shared,0.012600750777570615,128,64,128.0,,3,0.23361868284515405,1200,20,0.00018254834880400582,0.0017910085578273726,0.5026578307151794,0.36100542545318604,0.7134955525398254,COMPLETE
111,0.7038977742195129,2025-10-26 11:37:22.580631,2025-10-26 11:37:26.076484,3,shared,0.016192490725285714,256,64,64.0,128.0,4,0.12413618886451318,300,40,0.0008534031419560042,0.0006920630339107845,0.23364998400211334,0.35928457975387573,0.7002212405204773,COMPLETE
118,0.7045022249221802,2025-10-26 11:38:05.294836,2025-10-26 11:38:10.639666,5,shared,0.02400677233149311,64,64,128.0,128.0,4,0.1264069271906232,300,40,0.006324069996757998,0.0007529977001374585,0.4758559763431549,0.3587344288825989,0.7184734344482422,COMPLETE
17,0.7072641849517822,2025-10-26 11:27:42.980886,2025-10-26 11:27:49.241277,6,shared,0.02152858005471437,256,128,64.0,128.0,4,0.07140937709412051,1500,10,0.0007587756506729403,0.00011010221386290907,0.4406123459339142,0.35622042417526245,0.7350663542747498,COMPLETE
