number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_scaledentropy,user_attrs_test/rho2,user_attrs_test_acc,state
130,0.6465917229652405,2025-10-26 12:07:05.688344,2025-10-26 12:07:09.711063,4,class-specific,0.013751703893552082,128,256,,,2,0.055886581957865354,900,10,0.0013867469855328148,0.0005088943451880889,0.35219553112983704,0.411446750164032,0.7195796370506287,COMPLETE
167,0.6468490362167358,2025-10-26 12:09:51.433894,2025-10-26 12:09:55.835265,4,class-specific,0.020831440661067492,64,128,,,2,0.18323661242660533,900,10,0.002838716035426549,0.0017074965355973737,0.4776861369609833,0.411212682723999,0.7029867172241211,COMPLETE
159,0.646923303604126,2025-10-26 12:09:24.352402,2025-10-26 12:09:29.185124,4,class-specific,0.017234430842234923,128,64,,,2,0.1991100511762918,900,10,0.002156464546667279,0.003606501633798351,0.7216944694519043,0.41114503145217896,0.7140486836433411,COMPLETE
160,0.6470468044281006,2025-10-26 12:09:29.227802,2025-10-26 12:09:32.535186,3,class-specific,0.015435140043496743,128,64,,,2,0.16985685286451954,900,10,0.0019978630656663113,0.00046754392769935706,0.3968289792537689,0.41103261709213257,0.7245575189590454,COMPLETE
148,0.64725661277771,2025-10-26 12:08:43.965357,2025-10-26 12:08:47.874609,3,class-specific,0.021560345367232617,128,256,,,2,0.19360989224466968,900,10,0.007756258821333812,0.00036901868777710516,0.7381768822669983,0.4108416438102722,0.7245575189590454,COMPLETE
107,0.6473953723907471,2025-10-26 12:05:19.622457,2025-10-26 12:05:23.942777,4,class-specific,0.008406764795279787,128,64,,,2,0.16081550008401102,600,10,0.005752492312744833,0.0005253664739329199,0.6556849479675293,0.41071540117263794,0.7262167930603027,COMPLETE
73,0.6475352048873901,2025-10-26 12:02:35.557641,2025-10-26 12:02:41.758759,6,class-specific,0.02305336208365207,64,64,,,2,0.2205671742954513,900,20,0.008663001378882906,0.000749136945355408,0.5709514617919922,0.41058802604675293,0.7107300758361816,COMPLETE
184,0.6476850509643555,2025-10-26 12:11:06.796971,2025-10-26 12:11:11.064401,4,class-specific,0.01379206525027736,256,256,,,2,0.25838105876662104,900,10,0.0024148051684097682,0.0005899917030444399,0.5681806802749634,0.4104517102241516,0.7151548862457275,COMPLETE
23,0.6480548977851868,2025-10-26 11:57:39.773928,2025-10-26 11:57:43.620037,3,class-specific,0.020799259342250062,128,64,,,2,0.13133035361430878,900,1,0.00017959898324714066,0.0003134895834959245,0.7480140328407288,0.410115122795105,0.7129424810409546,COMPLETE
149,0.6484262943267822,2025-10-26 12:08:47.898411,2025-10-26 12:08:53.773432,5,shared,0.01291845645595626,256,64,128.0,,3,0.23241565361915198,1200,10,0.00034068197886013353,0.0008126366890491592,0.6469458937644958,0.4097769260406494,0.721238911151886,COMPLETE
35,0.648990273475647,2025-10-26 11:59:21.437850,2025-10-26 11:59:27.865564,6,class-specific,0.010176496995193721,128,64,,,2,0.23178110013923794,300,1,0.0007741003637398062,0.0010652821588390564,0.39768335223197937,0.4092637300491333,0.7251105904579163,COMPLETE
173,0.6496514081954956,2025-10-26 12:10:17.601541,2025-10-26 12:10:20.181731,2,class-specific,0.009570651135528659,256,256,,,2,0.21271188147555817,900,10,0.0013559456232116116,0.00131017535325231,0.5062675476074219,0.4086619019508362,0.7184734344482422,COMPLETE
30,0.6501327753067017,2025-10-26 11:58:30.544674,2025-10-26 11:58:48.320254,17,class-specific,0.0035868165654594905,256,256,,,2,0.3912879298007307,900,1,0.00013476687343888115,0.0025772733046491433,0.7103457450866699,0.40822362899780273,0.7134955525398254,COMPLETE
50,0.6510415077209473,2025-10-26 12:00:57.027643,2025-10-26 12:01:01.991317,4,class-specific,0.015335993263940915,64,64,,,2,0.1858248403195613,900,10,0.0001659440116527398,0.000525695292765617,0.4852786362171173,0.4073963761329651,0.7151548862457275,COMPLETE
170,0.6515966653823853,2025-10-26 12:10:02.728934,2025-10-26 12:10:07.166121,4,class-specific,0.014770384509550604,128,64,,,2,0.25007173755921874,1500,10,0.003303682062894889,0.0006254024252177823,0.6609312295913696,0.4068911671638489,0.7107300758361816,COMPLETE
144,0.651780903339386,2025-10-26 12:08:22.711016,2025-10-26 12:08:29.324273,6,class-specific,0.00965640495537108,256,256,,,2,0.27592724286055453,900,10,0.002102670707394787,0.0006875825374662156,0.5675272941589355,0.40672338008880615,0.7123894095420837,COMPLETE
24,0.6518604159355164,2025-10-26 11:57:43.648827,2025-10-26 11:57:50.948867,7,class-specific,0.008482019795081569,128,64,,,2,0.1689579527318828,900,1,0.00018876940864120224,0.0001846690772770814,0.6058204174041748,0.40665102005004883,0.7195796370506287,COMPLETE
135,0.6525401473045349,2025-10-26 12:07:34.056009,2025-10-26 12:07:38.164661,4,class-specific,0.011582883923210205,256,64,,,2,0.2108822589337589,900,10,0.002703095262703851,0.0010269638768905674,0.6769486665725708,0.4060323238372803,0.7101770043373108,COMPLETE
191,0.6536079049110413,2025-10-26 12:11:35.741858,2025-10-26 12:11:39.845545,4,class-specific,0.012021915903294758,256,256,,,2,0.2581823616989166,900,10,0.0015299555092848295,0.0010779025146464415,0.44987422227859497,0.405060350894928,0.7157079577445984,COMPLETE
187,0.6552504897117615,2025-10-26 12:11:16.994103,2025-10-26 12:11:24.493479,7,class-specific,0.011236355556313145,256,64,,,2,0.1887248239127234,900,1,0.0029996403075127106,0.0005597906822822132,0.68863844871521,0.40356528759002686,0.7245575189590454,COMPLETE
93,0.6557969450950623,2025-10-26 12:04:20.372002,2025-10-26 12:04:27.055546,6,class-specific,0.007191498036644557,128,64,,,2,0.26279050948315114,900,10,0.0030579812168325072,0.0005328983025590002,0.563387930393219,0.4030678868293762,0.716261088848114,COMPLETE
