number,value,datetime_start,datetime_complete,duration,params_embedding_mode,params_learning_rate,params_n_nodes_layer_0,params_n_nodes_layer_1,params_n_nodes_layer_2,params_n_nodes_layer_3,params_num_hidden_layers,params_segmentation_dropout_rate,params_total_updates,params_updates_per_epoch,params_weight_decay_embedding,params_weight_decay_segmentation,user_attrs_test/rho2,user_attrs_test_acc,state
133,0.7188253402709961,2025-10-26 12:07:58.315030,2025-10-26 12:08:13.354904,15,shared,0.019465633147216714,256,128,,,2,0.16601352474166547,1200,1,0.000411418523705553,0.008437291551715992,0.34569698572158813,0.6869469285011292,COMPLETE
116,0.7188808917999268,2025-10-26 12:06:02.482665,2025-10-26 12:06:05.849147,3,class-specific,0.03292110577192909,64,128,,,2,0.24756965707161593,900,1,0.00038258064685851124,0.00029365801725203007,0.34564632177352905,0.6797566413879395,COMPLETE
101,0.7189608812332153,2025-10-26 12:05:07.740420,2025-10-26 12:05:10.093892,2,shared,0.028705010236108053,256,128,,,2,0.3297788150279674,300,20,0.00033799709989004484,0.00010025713992684446,0.3455736041069031,0.6858407258987427,COMPLETE
24,0.7190804481506348,2025-10-26 11:57:04.229348,2025-10-26 11:57:09.289975,5,class-specific,0.03867800882224579,256,128,64.0,,3,0.2612113094356744,900,1,0.001370536148718,0.0016004443266390718,0.34546464681625366,0.6880530714988708,COMPLETE
119,0.7191823720932007,2025-10-26 12:06:17.394166,2025-10-26 12:06:25.303162,7,class-specific,0.02951458861558864,256,128,128.0,,3,0.27715631398245955,900,1,0.0008465916608521352,0.00022705157295806183,0.34537196159362793,0.6880530714988708,COMPLETE
124,0.7192107439041138,2025-10-26 12:06:36.017170,2025-10-26 12:06:38.590065,2,shared,0.08042372275762784,64,64,,,2,0.3211186948477251,300,1,0.0010569536019908907,0.0001300763481112286,0.34534621238708496,0.6825221180915833,COMPLETE
134,0.7195441126823425,2025-10-26 12:08:13.391616,2025-10-26 12:08:28.439407,15,shared,0.017809029674230783,256,128,,,2,0.1551586296279614,1200,1,0.0002781453519833139,0.005737739513765436,0.34504270553588867,0.6875,COMPLETE
70,0.7196682691574097,2025-10-26 12:02:03.417860,2025-10-26 12:02:05.327042,1,shared,0.03606298747114098,256,128,256.0,,3,0.20071194039020476,1200,40,0.00014983978184698643,0.0017220945607932974,0.34492963552474976,0.685287594795227,COMPLETE
32,0.7201240062713623,2025-10-26 11:57:38.090742,2025-10-26 11:57:52.311486,14,shared,0.019988078340997775,128,128,,,2,0.33952905132899275,900,1,0.0005989887568432118,0.00036347164851212505,0.34451478719711304,0.6880530714988708,COMPLETE
148,0.72029048204422,2025-10-26 12:09:09.790849,2025-10-26 12:09:11.512695,1,class-specific,0.06033394701201292,256,128,,,2,0.21145630370440532,1200,40,0.0002920856912439544,0.006341906043633964,0.34436333179473877,0.6792035102844238,COMPLETE
144,0.7204076051712036,2025-10-26 12:08:58.750678,2025-10-26 12:09:01.395312,2,class-specific,0.020384092748246672,256,128,,,2,0.19705478233837412,1200,20,0.0005905085714979986,0.009922155894296384,0.3442566990852356,0.6863937973976135,COMPLETE
74,0.7204079627990723,2025-10-26 12:02:35.675536,2025-10-26 12:02:40.119860,4,shared,0.043262582520571635,64,128,64.0,128.0,4,0.21948807223944766,900,1,0.0005299490126832625,0.0004904905055369747,0.3442564606666565,0.6847345232963562,COMPLETE
15,0.7204644680023193,2025-10-26 11:56:14.961127,2025-10-26 11:56:17.884567,2,class-specific,0.08933764490511545,256,128,256.0,,3,0.2345183341787793,300,1,0.0015737835175195741,0.002589674960480107,0.3442051410675049,0.6814159154891968,COMPLETE
52,0.7209362387657166,2025-10-26 12:00:04.730219,2025-10-26 12:00:07.557311,2,shared,0.03072135287978196,256,128,64.0,,3,0.32663787746912665,1200,20,0.0005439237082268707,0.00019656687021667388,0.34377551078796387,0.6886062026023865,COMPLETE
187,0.7210318446159363,2025-10-26 12:13:36.588904,2025-10-26 12:13:39.632003,3,shared,0.06150305741868624,256,128,,,2,0.19517891568913104,1200,1,0.0005381086957608257,0.0035765067396298163,0.343688428401947,0.6808628439903259,COMPLETE
27,0.7210405468940735,2025-10-26 11:57:13.688011,2025-10-26 11:57:15.218560,1,class-specific,0.06708552681092804,256,128,,,2,0.31989579564435733,1200,40,0.0003359983383803171,0.0005903671100324303,0.3436805009841919,0.6753318309783936,COMPLETE
